epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,8.23568,2.407,17.7369,1.46294,5.85116,2.42016,0,0,0,0,0,0,0,0,4.1149,17.4552,0.48195,5.91574,3.57894,0.0010496,0.0010496,0.0010496
26,8.50341,3.68561,19.0506,0.61504,9.33612,3.24083,0,0,0,0,0,0,0,0,4.1149,17.4552,0.48195,5.91574,3.57894,0.00101,0.00101,0.00101
27,8.82577,3.40914,0,0.15802,4.75725,3.13649,0,0,0,0,0,0,0,0,4.1149,17.4552,0.48195,5.91574,3.57894,0.0009704,0.0009704,0.0009704
28,9.18744,2.56765,7.00324,0.63225,7.45038,3.14139,0,0,0,0,0,0,0,0,4.13858,17.1949,0.48875,5.60363,3.55382,0.0009308,0.0009308,0.0009308
29,9.50596,3.86997,19.2679,1.10157,9.46884,3.71733,0,0,0,0,0,0,0,0,4.13858,17.1949,0.48875,5.60363,3.55382,0.0008912,0.0008912,0.0008912
30,9.82405,3.62651,21.3475,2.06238,8.19102,3.22805,0,0,0,0,0,0,0,0,4.13858,17.1949,0.48875,5.60363,3.55382,0.0008516,0.0008516,0.0008516
31,10.1241,3.19172,18.449,1.50616,6.45283,3.21912,0,0,0,0,0,0,0,0,4.18302,17.2746,0.52685,5.23622,3.57661,0.000812,0.000812,0.000812
32,10.4373,3.89308,17.39,0.85761,7.37768,3.20527,0,0,0,0,0,0,0,0,4.18302,17.2746,0.52685,5.23622,3.57661,0.0007724,0.0007724,0.0007724
33,10.7687,2.70691,0,0.18175,4.54352,2.05003,0,0,0,0,0,0,0,0,4.18302,17.2746,0.52685,5.23622,3.57661,0.0007328,0.0007328,0.0007328
34,11.1533,4.2783,20.5255,1.5526,5.43933,4.37384,0,0,0,0,0,0,0,0,4.18624,17.3665,0.59245,5.16934,3.60139,0.0006932,0.0006932,0.0006932
35,11.4262,3.33119,20.9925,1.87381,6.77074,2.78986,0,0,0,0,0,0,0,0,4.18624,17.3665,0.59245,5.16934,3.60139,0.0006536,0.0006536,0.0006536
36,11.7141,3.23082,17.9041,0.86192,10.9189,3.64729,0,0,0,0,0,0,0,0,4.18624,17.3665,0.59245,5.16934,3.60139,0.000614,0.000614,0.000614
37,12.1006,3.00112,16.0642,1.41044,7.31787,3.22082,0.00654,1,0.01363,0.00136,0,0,0,0,3.66895,18.7867,0.30226,3.79461,3.13757,0.0005744,0.0005744,0.0005744
38,12.4524,3.2436,23.4208,1.24344,4.89178,3.66797,0.00654,1,0.01363,0.00136,0,0,0,0,3.66895,18.7867,0.30226,3.79461,3.13757,0.0005348,0.0005348,0.0005348
39,12.8154,4.32683,16.8486,0.77541,3.74649,3.57351,0.00654,1,0.01363,0.00136,0,0,0,0,3.66895,18.7867,0.30226,3.79461,3.13757,0.0004952,0.0004952,0.0004952
40,13.1467,4.23844,0,0.18237,5.19216,2.82598,0.00483,1,0.01463,0.00291,0,0,0,0,3.51874,17.8856,0.24395,3.757,3.24723,0.0004556,0.0004556,0.0004556
41,13.4705,4.36998,18.2678,0.70081,5.96211,3.5159,0.00483,1,0.01463,0.00291,0,0,0,0,3.51874,17.8856,0.24395,3.757,3.24723,0.000416,0.000416,0.000416
42,13.8111,4.65927,20.1269,0.81184,5.02349,3.45832,0.00483,1,0.01463,0.00291,0,0,0,0,3.51874,17.8856,0.24395,3.757,3.24723,0.0003764,0.0003764,0.0003764
43,14.1133,3.38797,16.881,0.73676,6.41557,3.49211,0.00333,1,0.01579,0.00428,0,0,0,0,3.34152,15.0708,0.14929,5.08171,3.19953,0.0003368,0.0003368,0.0003368
44,14.4138,4.78085,10.919,0.39643,4.47992,4.36666,0.00333,1,0.01579,0.00428,0,0,0,0,3.34152,15.0708,0.14929,5.08171,3.19953,0.0002972,0.0002972,0.0002972
45,14.6916,4.1461,13.6971,0.86011,3.46991,4.0377,0.00333,1,0.01579,0.00428,0,0,0,0,3.34152,15.0708,0.14929,5.08171,3.19953,0.0002576,0.0002576,0.0002576
46,15.0429,2.9426,19.6814,1.02711,4.18054,2.83611,0.00333,1,0.00873,0.00262,0.00333,1,0.00765,0.00194,3.23876,11.1829,0.27464,10.0377,3.52804,0.000218,0.000218,0.000218
47,15.3452,3.41769,18.3526,0.65906,4.06212,3.05441,0.00333,1,0.00873,0.00262,0.00333,1,0.00765,0.00194,3.23876,11.1829,0.27464,10.0377,3.52804,0.0001784,0.0001784,0.0001784
48,15.6846,3.32539,15.3678,0.44515,3.55535,3.1897,0.00333,1,0.00873,0.00262,0.00333,1,0.00765,0.00194,3.23876,11.1829,0.27464,10.0377,3.52804,0.0001388,0.0001388,0.0001388
49,16.0827,3.02869,19.0849,0.48814,2.06266,2.83044,0,0,0,0,0.00333,1,0.00796,0.00318,2.72932,8.5768,0.42665,6.25921,3.73902,9.92e-05,9.92e-05,9.92e-05
50,16.4062,1.22791,9.93851,0.57196,4.29369,2.97172,0,0,0,0,0.00333,1,0.00796,0.00318,2.72932,8.5768,0.42665,6.25921,3.73902,5.96e-05,5.96e-05,5.96e-05
