epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.337522,2.39191,14.0831,1.31395,8.82962,3.0306,0,0,0,0,0,0,0,0,4.00339,11.6072,0.78317,7.01481,4.2625,0,0,0
2,0.67004,3.10092,22.3807,1.64302,9.18165,2.74125,0,0,0,0,0,0,0,0,4.00339,11.6072,0.78317,7.01481,4.2625,0.000653467,0.000653467,0.000653467
3,0.992501,3.07019,7.92016,0.65302,6.70844,2.93197,0,0,0,0,0,0,0,0,4.00339,11.6072,0.78317,7.01481,4.2625,0.00128053,0.00128053,0.00128053
4,1.30385,2.76454,17.533,1.45429,6.32687,2.76465,0,0,0,0,0,0,0,0,3.76826,12.0485,0.89914,7.35836,4.08179,0.0018812,0.0018812,0.0018812
5,1.62819,2.68166,17.8195,1.52006,8.08982,3.1665,0,0,0,0,0,0,0,0,3.76826,12.0485,0.89914,7.35836,4.08179,0.0018416,0.0018416,0.0018416
6,1.91976,3.06841,15.5319,1.26014,8.1499,3.44083,0,0,0,0,0,0,0,0,3.76826,12.0485,0.89914,7.35836,4.08179,0.001802,0.001802,0.001802
7,2.28384,2.62927,19.8092,1.28093,7.97047,3.05512,0,0,0,0,0,0,0,0,4.03,15.4322,0.776,6.39688,3.69253,0.0017624,0.0017624,0.0017624
8,2.62794,2.14371,0,0.08904,6.86673,2.08754,0,0,0,0,0,0,0,0,4.03,15.4322,0.776,6.39688,3.69253,0.0017228,0.0017228,0.0017228
9,2.98912,2.23209,15.8255,1.26052,7.87154,2.80898,0,0,0,0,0,0,0,0,4.03,15.4322,0.776,6.39688,3.69253,0.0016832,0.0016832,0.0016832
10,3.32976,1.84697,19.2569,1.81723,5.24164,1.72362,0,0,0,0,0,0,0,0,4.16746,17.2643,0.73116,6.02398,3.59539,0.0016436,0.0016436,0.0016436
11,3.66147,2.91258,18.1012,0.42418,7.17177,3.12937,0,0,0,0,0,0,0,0,4.16746,17.2643,0.73116,6.02398,3.59539,0.001604,0.001604,0.001604
12,4.01512,3.17065,17.855,1.58377,6.92712,3.33903,0,0,0,0,0,0,0,0,4.16746,17.2643,0.73116,6.02398,3.59539,0.0015644,0.0015644,0.0015644
13,4.36837,3.11291,16.9716,0.74728,8.02413,3.18501,0,0,0,0,0,0,0,0,4.1941,17.3394,0.72428,6.02883,3.61466,0.0015248,0.0015248,0.0015248
14,4.67314,4.1366,21.4573,1.38021,6.57421,5.33086,0,0,0,0,0,0,0,0,4.1941,17.3394,0.72428,6.02883,3.61466,0.0014852,0.0014852,0.0014852
15,5.033,3.39439,14.2897,1.05471,8.94573,3.57875,0,0,0,0,0,0,0,0,4.1941,17.3394,0.72428,6.02883,3.61466,0.0014456,0.0014456,0.0014456
16,5.33684,3.37851,21.0256,1.13859,8.33751,3.40661,0,0,0,0,0,0,0,0,4.18467,17.2216,0.68453,5.91205,3.61337,0.001406,0.001406,0.001406
17,5.6656,2.57489,15.8711,1.33208,7.67935,3.26292,0,0,0,0,0,0,0,0,4.18467,17.2216,0.68453,5.91205,3.61337,0.0013664,0.0013664,0.0013664
18,6.00304,2.8219,17.2133,2.0373,7.57817,2.68676,0,0,0,0,0,0,0,0,4.18467,17.2216,0.68453,5.91205,3.61337,0.0013268,0.0013268,0.0013268
19,6.35795,2.84424,17.4887,1.28394,7.03344,3.05316,0,0,0,0,0,0,0,0,4.17147,17.4778,0.61714,5.88586,3.6142,0.0012872,0.0012872,0.0012872
20,6.68713,3.16496,14.6937,1.57846,7.85939,3.10255,0,0,0,0,0,0,0,0,4.17147,17.4778,0.61714,5.88586,3.6142,0.0012476,0.0012476,0.0012476
21,7.01702,2.73151,16.5136,1.70437,6.21687,2.75786,0,0,0,0,0,0,0,0,4.17147,17.4778,0.61714,5.88586,3.6142,0.001208,0.001208,0.001208
22,7.35804,3.50834,19.135,1.48594,6.13956,3.10733,0,0,0,0,0,0,0,0,4.13056,17.2267,0.53369,5.99271,3.58718,0.0011684,0.0011684,0.0011684
23,7.65395,3.58307,22.1808,0.86806,5.83793,3.28119,0,0,0,0,0,0,0,0,4.13056,17.2267,0.53369,5.99271,3.58718,0.0011288,0.0011288,0.0011288
24,7.9419,3.46261,19.2715,0.53964,7.07091,3.34204,0,0,0,0,0,0,0,0,4.13056,17.2267,0.53369,5.99271,3.58718,0.0010892,0.0010892,0.0010892
