epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,11.8061,2.91339,3.94605,0.77668,5.62579,2.92159,0,0,0,0,0,0,0,0,4.19285,8.6753,0.58231,5.29741,3.60201,0.0006932,0.0006932,0.0006932
35,12.1099,2.29517,0,0.13667,10.4701,2.59915,0,0,0,0,0,0,0,0,4.19285,8.6753,0.58231,5.29741,3.60201,0.0006536,0.0006536,0.0006536
36,12.4296,2.57307,0,0.12799,5.30983,2.18021,0,0,0,0,0,0,0,0,4.19285,8.6753,0.58231,5.29741,3.60201,0.000614,0.000614,0.000614
37,12.837,2.96776,4.09442,0.49964,7.51021,3.18525,0,0,0,0,0,0,0,0,3.72691,6.77921,0.42158,5.79852,4.15524,0.0005744,0.0005744,0.0005744
38,13.1618,3.63361,9.72022,1.26,7.2847,3.19482,0,0,0,0,0,0,0,0,3.72691,6.77921,0.42158,5.79852,4.15524,0.0005348,0.0005348,0.0005348
39,13.4418,2.88812,0,0.08139,3.02414,2.1651,0,0,0,0,0,0,0,0,3.72691,6.77921,0.42158,5.79852,4.15524,0.0004952,0.0004952,0.0004952
40,13.7215,0,0,0,5.5544,0,0,0,0,0,0,0,0,0,4.13247,8.51882,0.24181,5.83111,3.5433,0.0004556,0.0004556,0.0004556
41,14.0296,4.57879,9.13921,0.50115,5.51548,3.66092,0,0,0,0,0,0,0,0,4.13247,8.51882,0.24181,5.83111,3.5433,0.000416,0.000416,0.000416
42,14.3524,3.92366,9.69185,0.39553,6.03757,3.08449,0,0,0,0,0,0,0,0,4.13247,8.51882,0.24181,5.83111,3.5433,0.0003764,0.0003764,0.0003764
43,14.7202,4.71702,9.01918,0.63129,5.10462,4.12626,0,0,0,0,0,0,0,0,3.9264,8.6433,0.24962,3.58659,3.32999,0.0003368,0.0003368,0.0003368
44,15.0176,3.10247,7.52594,0.36965,3.44223,3.36184,0,0,0,0,0,0,0,0,3.9264,8.6433,0.24962,3.58659,3.32999,0.0002972,0.0002972,0.0002972
45,15.3376,3.15022,8.14874,0.25961,3.17013,2.71764,0,0,0,0,0,0,0,0,3.9264,8.6433,0.24962,3.58659,3.32999,0.0002576,0.0002576,0.0002576
46,15.6321,2.01344,9.0257,0.31664,3.31008,2.63273,0.0036,1,0.01716,0.00858,0,0,0,0,2.44105,7.56485,0.2165,4.09803,2.63103,0.000218,0.000218,0.000218
47,15.9713,3.93517,8.8264,0.20909,2.55048,2.72456,0.0036,1,0.01716,0.00858,0,0,0,0,2.44105,7.56485,0.2165,4.09803,2.63103,0.0001784,0.0001784,0.0001784
48,16.2647,4.17629,9.26729,0.33063,2.88183,3.14517,0.0036,1,0.01716,0.00858,0,0,0,0,2.44105,7.56485,0.2165,4.09803,2.63103,0.0001388,0.0001388,0.0001388
49,16.5841,2.19062,7.40127,1.69426,6.45405,2.87948,0.00333,1,0.00957,0.00599,0,0,0,0,1.83607,7.82512,0.31749,6.25557,2.48798,9.92e-05,9.92e-05,9.92e-05
50,16.8575,4.0651,9.3083,0.19903,2.71896,2.76664,0.00333,1,0.00957,0.00599,0,0,0,0,1.83607,7.82512,0.31749,6.25557,2.48798,5.96e-05,5.96e-05,5.96e-05
