epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.341922,2.39191,14.0831,1.31395,8.82962,3.0306,0,0,0,0,0,0,0,0,4.00339,11.6072,0.78317,7.01481,4.2625,0,0,0
2,0.608391,3.10092,22.3807,1.64302,9.18165,2.74125,0,0,0,0,0,0,0,0,4.00339,11.6072,0.78317,7.01481,4.2625,0.000633667,0.000633667,0.000633667
3,0.92201,3.07019,7.92016,0.65302,6.70844,2.93197,0,0,0,0,0,0,0,0,4.00339,11.6072,0.78317,7.01481,4.2625,0.00120133,0.00120133,0.00120133
4,1.2798,2.76454,17.533,1.45429,6.32687,2.76465,0,0,0,0,0,0,0,0,3.76826,12.0485,0.89914,7.35836,4.08179,0.001703,0.001703,0.001703
5,1.58191,2.68166,17.8195,1.52006,8.08982,3.1665,0,0,0,0,0,0,0,0,3.76826,12.0485,0.89914,7.35836,4.08179,0.001604,0.001604,0.001604
6,1.91965,3.06841,15.5319,1.26014,8.1499,3.44083,0,0,0,0,0,0,0,0,3.76826,12.0485,0.89914,7.35836,4.08179,0.001505,0.001505,0.001505
7,2.25244,2.62927,19.8092,1.28093,7.97047,3.05512,0,0,0,0,0,0,0,0,4.03,15.4322,0.776,6.39688,3.69253,0.001406,0.001406,0.001406
8,2.53591,2.14371,0,0.08904,6.86673,2.08754,0,0,0,0,0,0,0,0,4.03,15.4322,0.776,6.39688,3.69253,0.001307,0.001307,0.001307
9,2.82927,2.23209,15.8255,1.26052,7.87154,2.80898,0,0,0,0,0,0,0,0,4.03,15.4322,0.776,6.39688,3.69253,0.001208,0.001208,0.001208
10,3.12501,1.84697,19.2569,1.81723,5.24164,1.72362,0,0,0,0,0,0,0,0,4.16746,17.2643,0.73116,6.02398,3.59539,0.001109,0.001109,0.001109
11,3.43092,3.65135,16.9539,0.97132,9.40052,3.17305,0,0,0,0,0,0,0,0,4.16746,17.2643,0.73116,6.02398,3.59539,0.00101,0.00101,0.00101
12,3.77397,3.54176,19.9628,0.28083,8.48339,2.71547,0,0,0,0,0,0,0,0,4.16746,17.2643,0.73116,6.02398,3.59539,0.000911,0.000911,0.000911
13,4.10274,3.16428,19.0103,0.65754,7.58761,3.10513,0,0,0,0,0,0,0,0,4.1925,17.4703,0.72802,5.89037,3.6075,0.000812,0.000812,0.000812
14,4.37564,3.84798,20.4391,0.50243,6.8424,3.14689,0,0,0,0,0,0,0,0,4.1925,17.4703,0.72802,5.89037,3.6075,0.000713,0.000713,0.000713
15,4.65243,3.23863,15.4282,0.85268,8.04421,3.39426,0,0,0,0,0,0,0,0,4.1925,17.4703,0.72802,5.89037,3.6075,0.000614,0.000614,0.000614
16,4.95134,3.97676,20.1359,0.62042,9.57144,3.47017,0,0,0,0,0,0,0,0,4.17965,17.2634,0.69166,5.93633,3.60472,0.000515,0.000515,0.000515
17,5.28592,3.75225,20.4845,0.3886,8.8464,3.66523,0,0,0,0,0,0,0,0,4.17965,17.2634,0.69166,5.93633,3.60472,0.000416,0.000416,0.000416
18,5.58584,3.26903,15.3565,0.41431,8.22403,3.24925,0,0,0,0,0,0,0,0,4.17965,17.2634,0.69166,5.93633,3.60472,0.000317,0.000317,0.000317
19,5.90776,3.83742,18.1157,1.43505,9.14648,3.28704,0,0,0,0,0,0,0,0,4.1774,17.3496,0.64751,5.9509,3.62383,0.000218,0.000218,0.000218
20,6.20572,4.63856,18.2547,0.77711,7.26922,4.14894,0,0,0,0,0,0,0,0,4.1774,17.3496,0.64751,5.9509,3.62383,0.000119,0.000119,0.000119
